epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,557.38,0.71331,0.51437,1.04106,0.95439,0.91065,0.93481,0.74868,0.68301,0.42464,0.95463,0.000307,0.000307,0.000307
44,570.355,0.72693,0.51264,1.03703,0.96736,0.90836,0.93746,0.74652,0.67559,0.42759,0.95056,0.0002905,0.0002905,0.0002905
45,583.029,0.69263,0.49881,1.0293,0.92598,0.90648,0.91752,0.74156,0.67806,0.42078,0.94669,0.000274,0.000274,0.000274
46,595.883,0.71609,0.51114,1.03499,0.96288,0.91275,0.93696,0.75036,0.69773,0.42006,0.9526,0.0002575,0.0002575,0.0002575
47,608.803,0.68609,0.49236,1.01871,0.95132,0.91497,0.93034,0.74929,0.67637,0.4023,0.94644,0.000241,0.000241,0.000241
48,621.553,0.70163,0.49831,1.02057,0.94767,0.91972,0.93243,0.75612,0.68222,0.4029,0.94851,0.0002245,0.0002245,0.0002245
49,634.278,0.68349,0.48607,1.02913,0.96016,0.91694,0.93724,0.75765,0.6741,0.39649,0.94211,0.000208,0.000208,0.000208
50,647.236,0.67045,0.47372,1.01821,0.95199,0.91538,0.93357,0.75752,0.65889,0.39137,0.95121,0.0001915,0.0001915,0.0001915
51,661.703,0.65133,0.45352,1.00301,0.94823,0.90242,0.92329,0.75002,0.6794,0.43107,0.94794,0.000175,0.000175,0.000175
52,674.202,0.63184,0.42162,0.99052,0.96828,0.90645,0.93818,0.75675,0.67259,0.39964,0.94235,0.0001585,0.0001585,0.0001585
53,686.598,0.62134,0.40816,0.98389,0.95244,0.91156,0.93646,0.75333,0.66063,0.39586,0.94069,0.000142,0.000142,0.000142
54,699.012,0.60326,0.40068,0.97684,0.93393,0.92001,0.92935,0.74888,0.65002,0.40055,0.94824,0.0001255,0.0001255,0.0001255
55,711.547,0.60027,0.39517,0.97462,0.94953,0.91817,0.94074,0.75847,0.661,0.40574,0.94606,0.000109,0.000109,0.000109
56,723.643,0.59196,0.39283,0.97583,0.96061,0.91098,0.9414,0.75925,0.65725,0.40459,0.94095,9.25e-05,9.25e-05,9.25e-05
57,736.319,0.58714,0.39027,0.97051,0.95284,0.92062,0.94261,0.7622,0.65186,0.39387,0.94317,7.6e-05,7.6e-05,7.6e-05
58,748.539,0.58379,0.38423,0.96658,0.95324,0.91659,0.93621,0.76113,0.64846,0.39736,0.9459,5.95e-05,5.95e-05,5.95e-05
59,760.461,0.57795,0.3849,0.96835,0.95391,0.92112,0.93835,0.76389,0.64394,0.38943,0.94278,4.3e-05,4.3e-05,4.3e-05
60,772.94,0.57594,0.37414,0.96294,0.94936,0.92173,0.93948,0.76695,0.63546,0.39022,0.93903,2.65e-05,2.65e-05,2.65e-05
