epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,394.429,1.20191,0.74692,1.14593,0.86761,0.78559,0.86402,0.49182,1.50538,0.80091,1.25392,0.000539275,0.000539275,0.000539275
43,404.071,1.2101,0.73362,1.14516,0.88842,0.77255,0.86632,0.49067,1.51748,0.78222,1.25857,0.000511769,0.000511769,0.000511769
44,413.75,1.20847,0.7404,1.13999,0.86085,0.80792,0.87226,0.49622,1.50444,0.77289,1.24118,0.000484263,0.000484263,0.000484263
45,422.934,1.21379,0.73367,1.14171,0.88638,0.79226,0.87204,0.49334,1.51332,0.81132,1.24944,0.000456758,0.000456758,0.000456758
46,431.665,1.18043,0.71943,1.13031,0.85195,0.76826,0.84884,0.48873,1.4963,0.78187,1.25538,0.000429253,0.000429253,0.000429253
47,441.256,1.18345,0.7046,1.13789,0.86124,0.79184,0.85899,0.49666,1.4861,0.77286,1.23795,0.000401747,0.000401747,0.000401747
48,450.733,1.18535,0.70781,1.12467,0.83602,0.80383,0.87244,0.50544,1.47447,0.75455,1.23043,0.000374242,0.000374242,0.000374242
49,459.035,1.14349,0.68974,1.12467,0.83895,0.77581,0.85644,0.50402,1.49039,0.78472,1.23912,0.000346736,0.000346736,0.000346736
50,468.92,1.19397,0.71013,1.13436,0.85128,0.81621,0.87288,0.50674,1.47564,0.76991,1.22967,0.000319231,0.000319231,0.000319231
51,480.151,1.20341,0.70853,1.13291,0.85868,0.79324,0.86312,0.50267,1.48093,0.81866,1.22254,0.000291725,0.000291725,0.000291725
52,489.606,1.17521,0.68259,1.12562,0.8489,0.80651,0.861,0.50502,1.45543,0.753,1.22576,0.00026422,0.00026422,0.00026422
53,497.788,1.16457,0.66877,1.12443,0.82465,0.8173,0.86841,0.50514,1.45122,0.74419,1.22377,0.000236714,0.000236714,0.000236714
54,507.053,1.1657,0.65067,1.12645,0.84349,0.80885,0.87749,0.51188,1.46809,0.74809,1.23466,0.000209209,0.000209209,0.000209209
55,516.119,1.15889,0.64868,1.11697,0.86828,0.78492,0.87344,0.51298,1.46024,0.75605,1.22279,0.000181703,0.000181703,0.000181703
56,524.357,1.15434,0.64368,1.11785,0.87719,0.78592,0.86845,0.51105,1.46191,0.75248,1.21876,0.000154198,0.000154198,0.000154198
57,533.518,1.11,0.63013,1.09295,0.86407,0.79796,0.86704,0.50266,1.45049,0.74176,1.21784,0.000126692,0.000126692,0.000126692
58,542.936,1.11731,0.63525,1.10231,0.87151,0.79752,0.86794,0.50283,1.46859,0.74901,1.2288,9.91865e-05,9.91865e-05,9.91865e-05
59,551.011,1.10978,0.62158,1.09246,0.86199,0.80072,0.86785,0.50754,1.45696,0.74491,1.22278,7.1681e-05,7.1681e-05,7.1681e-05
60,560.119,1.09508,0.62087,1.08897,0.87414,0.80148,0.86942,0.50939,1.45023,0.73881,1.22268,4.41755e-05,4.41755e-05,4.41755e-05
