epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,528.321,0.68866,0.55121,1.05298,0.91745,0.96273,0.97831,0.74901,0.78569,0.47051,1.00401,0.000307,0.000307,0.000307
44,540.667,0.68725,0.54864,1.06058,0.91418,0.96687,0.97735,0.77052,0.7434,0.44827,0.98051,0.0002905,0.0002905,0.0002905
45,552.876,0.68094,0.54159,1.04959,0.92373,0.96579,0.9794,0.77113,0.738,0.45406,0.98488,0.000274,0.000274,0.000274
46,565.21,0.69058,0.55459,1.05821,0.90019,0.96376,0.97826,0.77525,0.74145,0.46191,0.99406,0.0002575,0.0002575,0.0002575
47,577.495,0.68198,0.53614,1.04705,0.93076,0.97275,0.98702,0.77002,0.73531,0.42514,0.98375,0.000241,0.000241,0.000241
48,589.92,0.6594,0.52595,1.03768,0.92625,0.96621,0.98897,0.77565,0.73844,0.43304,0.98299,0.0002245,0.0002245,0.0002245
49,602.042,0.64985,0.50971,1.0424,0.92797,0.93952,0.97884,0.77404,0.7436,0.4367,0.99291,0.000208,0.000208,0.000208
50,613.84,0.64999,0.51323,1.04173,0.93209,0.96914,0.98571,0.7837,0.72592,0.4208,0.98828,0.0001915,0.0001915,0.0001915
51,627.327,0.60916,0.48665,1.01715,0.93586,0.94099,0.97845,0.77687,0.72828,0.4226,0.96621,0.000175,0.000175,0.000175
52,638.424,0.59619,0.44962,1.01321,0.92935,0.96562,0.97389,0.76803,0.72336,0.43018,0.98596,0.0001585,0.0001585,0.0001585
53,650.198,0.58536,0.43737,1.00384,0.90419,0.96481,0.97598,0.76997,0.71335,0.42747,0.98411,0.000142,0.000142,0.000142
54,661.742,0.59609,0.43696,1.0033,0.92692,0.95998,0.97755,0.77856,0.72861,0.41816,0.98533,0.0001255,0.0001255,0.0001255
55,673.39,0.5809,0.46085,1.00992,0.91021,0.96343,0.97697,0.77638,0.71201,0.41722,0.97463,0.000109,0.000109,0.000109
56,684.986,0.56046,0.40606,0.97429,0.92418,0.96224,0.97855,0.78383,0.70102,0.41193,0.97075,9.25e-05,9.25e-05,9.25e-05
57,696.633,0.57178,0.41821,0.99752,0.91621,0.9701,0.97875,0.78383,0.71386,0.40807,0.97163,7.6e-05,7.6e-05,7.6e-05
58,708.234,0.5515,0.39551,0.98529,0.92255,0.96723,0.97958,0.78395,0.71116,0.40688,0.97513,5.95e-05,5.95e-05,5.95e-05
59,719.396,0.56023,0.43863,0.98802,0.92075,0.96489,0.97969,0.78294,0.7111,0.40546,0.97354,4.3e-05,4.3e-05,4.3e-05
60,730.146,0.54012,0.40409,0.98075,0.92436,0.96863,0.97994,0.78775,0.71181,0.4082,0.97472,2.65e-05,2.65e-05,2.65e-05
