epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,816.47,1.08044,0.63807,1.0678,0.88684,0.76261,0.86498,0.55284,1.26192,0.7142,1.11682,0.000539275,0.000539275,0.000539275
43,834.917,1.05949,0.62012,1.05367,0.8425,0.80908,0.8656,0.54688,1.28525,0.71106,1.12621,0.000511769,0.000511769,0.000511769
44,855.648,1.0579,0.62802,1.06685,0.85383,0.78148,0.84939,0.54055,1.2973,0.73804,1.14105,0.000484263,0.000484263,0.000484263
45,874.955,1.05296,0.62141,1.06279,0.87764,0.78875,0.86039,0.54754,1.28173,0.71176,1.12601,0.000456758,0.000456758,0.000456758
46,896.672,1.02265,0.59949,1.04148,0.87835,0.78767,0.86639,0.55479,1.28613,0.70644,1.12827,0.000429253,0.000429253,0.000429253
47,916.155,1.00753,0.58385,1.04257,0.88998,0.76041,0.86518,0.55566,1.29032,0.70233,1.1283,0.000401747,0.000401747,0.000401747
48,937.898,1.0339,0.60097,1.04791,0.87856,0.76408,0.85893,0.55192,1.29324,0.71869,1.13234,0.000374242,0.000374242,0.000374242
49,959.365,1.026,0.59783,1.04586,0.91719,0.76497,0.8709,0.55483,1.26364,0.70469,1.1134,0.000346736,0.000346736,0.000346736
50,981.295,1.01613,0.58776,1.03623,0.88355,0.79837,0.87255,0.5647,1.27266,0.6859,1.11816,0.000319231,0.000319231,0.000319231
51,1005.21,1.04168,0.58138,1.04079,0.86533,0.78601,0.86622,0.54563,1.29629,0.71235,1.1334,0.000291725,0.000291725,0.000291725
52,1023.25,1.03592,0.56758,1.03989,0.8815,0.78679,0.8684,0.54724,1.28882,0.70004,1.1336,0.00026422,0.00026422,0.00026422
53,1042.57,1.01982,0.55704,1.03222,0.88601,0.80782,0.87257,0.55497,1.25365,0.68762,1.12186,0.000236714,0.000236714,0.000236714
54,1061.12,1.00378,0.55257,1.02702,0.88055,0.80716,0.86747,0.54695,1.27345,0.70738,1.12758,0.000209209,0.000209209,0.000209209
55,1079.38,1.00255,0.54538,1.02749,0.89143,0.80455,0.86725,0.54924,1.26928,0.68768,1.12564,0.000181703,0.000181703,0.000181703
56,1100.84,1.00445,0.54872,1.03187,0.8555,0.79655,0.86837,0.55555,1.26477,0.68851,1.12464,0.000154198,0.000154198,0.000154198
57,1118.66,0.99591,0.53611,1.02769,0.88971,0.77079,0.85692,0.55453,1.25484,0.69967,1.12127,0.000126692,0.000126692,0.000126692
58,1139.79,0.97472,0.53153,1.0174,0.88158,0.77204,0.86146,0.56268,1.25948,0.69747,1.11573,9.91865e-05,9.91865e-05,9.91865e-05
59,1159.92,0.97307,0.52123,1.0119,0.8547,0.79493,0.8582,0.56045,1.26078,0.69124,1.1186,7.1681e-05,7.1681e-05,7.1681e-05
60,1181.89,0.97129,0.52765,1.02297,0.90866,0.7596,0.85624,0.55954,1.26442,0.68881,1.12234,4.41755e-05,4.41755e-05,4.41755e-05
